Model,Model_Config,Best_CrossVal_Score,Splitter,MSE,RMSE,MAE,Experiment_type,Most_freq_accuracy,Most_Freq_Label
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-12755490277.933493,predefined,46054.313715190074,214.60268804278775,97.23300569103864,Global Generalized with Val and Test,0.4666666666666667,2
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-3.416753000567101e+21,predefined,46054.313715190074,214.60268804278775,97.23300569103864,Global Generalized with Val and Test,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 30, 'n_estimators': 20}",-0.34047619047619043,predefined,0.6522222222222221,0.8076027626390477,0.7,Global Generalized with Val and Test,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 15, 'n_estimators': 20}",-0.2925,predefined,0.725,0.85146931829632,0.7333333333333333,Global Generalized with Val and Test,0.4666666666666667,2
SVR,{},-0.3135176566707213,predefined,0.5895566897666289,0.7678259501779221,0.6547885376039382,Global Generalized with Val and Test,0.4666666666666667,2
SVR,{},-0.2558622686333252,predefined,0.5895566897666289,0.7678259501779221,0.6547885376039382,Global Generalized with Val and Test,0.4666666666666667,2
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-3914.814350939694,loso,2467982422518.6543,1570981.3565153007,389633.77224633633,Global Generalized with Loso,0.4666666666666667,2
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-167012268.10711762,loso,2467982422518.6543,1570981.3565153007,389633.77224633633,Global Generalized with Loso,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 30, 'n_estimators': 20}",-0.5674418604651164,loso,0.9012222222222223,0.9493272471715021,0.74,Global Generalized with Loso,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 30, 'n_estimators': 20}",-0.547296511627907,loso,0.8124444444444445,0.9013570016616305,0.6888888888888889,Global Generalized with Loso,0.4666666666666667,2
SVR,{},-0.4361669768792296,loso,0.6108512825943891,0.7815697554245489,0.6065961902529926,Global Generalized with Loso,0.4666666666666667,2
SVR,{},-0.5317722378825578,loso,0.6108512825943891,0.7815697554245489,0.6065961902529926,Global Generalized with Loso,0.4666666666666667,2
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-31380.60125437759,kfold,2467982422518.6543,1570981.3565153007,389633.77224633633,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
LinearRegression,"{'fit_intercept': True, 'n_jobs': -1}",-28063016183.172375,kfold,2467982422518.6543,1570981.3565153007,389633.77224633633,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 15, 'n_estimators': 20}",-0.5226744186046511,kfold,0.8283333333333331,0.910128196098403,0.7088888888888889,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
RandomForestRegressor,"{'criterion': 'mse', 'max_features': 15, 'n_estimators': 20}",-0.518575581395349,kfold,0.8519444444444446,0.923008366400026,0.7322222222222224,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
SVR,{},-0.43578917346353174,kfold,0.6108512825943891,0.7815697554245489,0.6065961902529926,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
SVR,{},-0.5222626709122101,kfold,0.6108512825943891,0.7815697554245489,0.6065961902529926,Global Generalized with kfold CV with Randomization,0.4666666666666667,2
